,date,text,normalized_text,clean_text
36,2020-04-16,"As Dr. Birx has been advising our governors for weeks, we continue to have an excess testing capacity of 1 million tests per week available for use. And our capabilities are growing every single day, especially with the new tests that are coming onto the market rapidly.",dr birx advising governor week continue excess testing capacity one million test per week available use capability growing every single day especially new test coming onto market rapidly,dr_birx advising governor week continue excess testing capacity one million test per week available use capability growing every_single day especially new test coming onto market rapidly
37,2020-04-16,"As we begin a science-based reopening, we must be extra vigilant in blocking the foreign entry of the virus from abroad. Border control, travel restrictions, and other limitations on entry are more important than ever to keep the virus in check and allow Americans to get back to work.",begin science based reopening must extra vigilant blocking foreign entry virus abroad border control travel restriction limitation entry important ever keep virus check allow american get back work,begin science based reopening must extra vigilant blocking foreign entry virus abroad border control travel restriction limitation entry important ever keep virus check allow american get back work
38,2020-04-16,"The sacrifices our citizens have made in this time of crisis will be remembered, studied, honored, and praised for generations to come. We're really all working together. Democrat, Republican, conservative, liberal — we're all working together. This is not about parties; this is about our country.",sacrifice citizen made time crisis remembered studied honored praised generation come really working together democrat republican conservative liberal working together party country,sacrifice citizen made time crisis remembered studied honored praised generation come really working together democrat_republican conservative liberal working together party country
39,2020-04-16,"Now the American people are ready to rise to the occasion once again. They are ready to show the world once more that Americans can defeat any challenger. Together, we will rebuild this land that we love, we will reclaim the magnificent destiny that we share, and we will carry our nation forward to new heights of greatness and glory.",american people ready rise occasion ready show world american defeat challenger together rebuild land love reclaim magnificent destiny share carry nation forward new height greatness glory,american people ready rise occasion ready show world american defeat challenger together rebuild land love reclaim magnificent destiny share carry nation forward new height greatness glory
40,2020-04-16,"I would now like to ask Vice President Mike Pence and Dr. Birx to further explain the new guidelines. I want to thank Dr. Birx. I want to thank Dr. Fauci. And I want to thank, really especially, a man who has devoted 24 hours a day to his task force and done such an incredible job — our great Vice President, Mike Pence.",would like ask vice president mike pence dr birx explain new guideline want thank dr birx want thank dr fauci want thank really especially man devoted twenty-four hour day task force done incredible job great vice president mike pence,would like ask vice_president mike_pence dr_birx explain new guideline want thank dr_birx want thank dr_fauci want thank really especially man devoted twenty-four_hour day task_force done incredible job great vice_president mike_pence
41,2020-04-16,"I did. I heard from a number of governors that said they're in very good shape. I also heard — not only from the call, but I heard from some of the governors previous — and I think you'll have some very good things to report over the next few days about states opening up.",heard number governor said good shape also heard call heard governor previous think good thing report next day state opening,heard number governor said good shape also heard call heard governor previous think good thing report next day state opening
42,2020-04-16,"And I think, Jon, having to do with your call on — on sports: Depending on the area, depending where we're talking about, you're going to have large areas of our country where this has not been or has been totally eradicated. You'll be able to have those full arenas.",think jon call sport depending area depending talking going large area country totally eradicated able full arena,think jon call sport depending area depending talking going large area country totally eradicated able full arena
43,2020-04-16,"Now, with everything being said, a lot of great work has been done on vaccines, but you have a testing process. Therapeutics, likewise — we have a lot of great things happening, therapeutically. That will be a step further.",everything said lot great work done vaccine testing process therapeutic likewise lot great thing happening therapeutically step,everything said lot great work done vaccine testing process therapeutic likewise lot great thing happening therapeutically step
44,2020-04-16,"But, in terms of sports, they'll probably start off — I — as you know, I spoke to the commissioners yesterday — almost, I guess, of every sport. And many of them are going to be starting without the fans. So it'll be made for television. The good old days, made for television. And it'll go that way, and then fans will start coming in. Maybe they'll be separated by two seats. And then ultimately, we want to have packed arenas. When the virus is gone, we're going to have packed arenas and we're going to be back to enjoying sports the way they're supposed to be. And the same thing can be said for restaurants.",term sport probably start know spoke commissioner yesterday almost guess every sport many going starting without fan made television good old day made television go way fan start coming maybe separated two seat ultimately want packed arena virus gone going packed arena going back enjoying sport way supposed thing said restaurant,term sport probably start know spoke commissioner yesterday almost guess every sport many going starting without fan made television good old day made television go way fan start coming maybe separated two seat ultimately want packed arena virus gone going packed arena going back enjoying sport way supposed thing said restaurant
45,2020-04-16,"So, at a certain point in time, when the virus is gone, we're going to be back to normal.",certain point time virus gone going back normal,certain point time virus gone going back normal
46,2020-04-16,"Well, they're going to be in place, to a large extent, and it also depends on the governors, what they want to do. You have very different states. If you look at Montana, Wyoming, North Dakota — that's a lot different than New York. It's a lot different than New Jersey. So it's going to be very dependent on the governor.",well going place large extent also depends governor want different state look montana wyoming north dakota lot different new york lot different new jersey going dependent governor,well going place large extent also depends governor want different state look montana wyoming north dakota lot different new_york lot different new_jersey going dependent governor
47,2020-04-16,"We're recommending — as you see in the charts, we're recommending certain things. They'll be in place, dependent on what the governor wants to do. If we see something wrong, we will be expressing ourselves very strongly.",recommending see chart recommending certain thing place dependent governor want see something wrong expressing strongly,recommending see chart recommending certain thing place dependent governor want see something wrong expressing strongly
48,2020-04-16,"They will be able to go literally tomorrow, yes — because they've met all of the guidelines if you go back — you're going back 14 days, you're going back even a month. And they have — the ones that I'm thinking about, the ones that I've already spoken to governors about — they've met those guidelines, actually, pretty long ago.",able go literally tomorrow yes met guideline go back going back fourteen day going back even month one thinking one already spoken governor met guideline actually pretty long ago,able go literally tomorrow yes met guideline go back going back fourteen day going back even month one thinking one already spoken governor met guideline actually pretty long ago
49,2020-04-16,"Well, they've been going through it a long time, Jon, and it's been a tough process for people. You know, I told you this: There's death and there's problems in staying at home too. It's not just, “Isn't it wonderful to stay at home?” They're having — they're suffering. This country wasn't built on that principle; it was built on an exact opposite principle, actually.",well going long time jon tough process people know told death problem staying home wonderful stay home suffering country built principle built exact opposite principle actually,well going long time jon tough process people know told death problem staying_home wonderful stay_home suffering country built principle built exact opposite principle actually
50,2020-04-16,"And I watched, in one particular state, where they were — they want to get back. They want to get back. They were very strict sanctions that were put on people; that was probably the most strict of all.",watched one particular state want get back want get back strict sanction put people probably strict,watched one particular state want get back want get back strict sanction put people probably strict
51,2020-04-16,"Jon, when you look at what they've done, when you look at what they've been through, when you look at all of the death and all of the problems and all of the sickness, when you look at what's happened, I just think the American people have been incredible.",jon look done look look death problem sickness look happened think american people incredible,jon look done look look death problem sickness look happened think american people incredible
52,2020-04-16,I think they're listening. I think they listen to me. They seem to be protesters that like me and respect this opinion. And my opinion is the same as just about all of the governors.,think listening think listen seem protester like respect opinion opinion governor,think listening think listen seem protester like respect opinion opinion governor
53,2020-04-16,"They all want to open. Nobody wants to stay shut, but they want to open safely. So do I. But we have large sections of the country right now that can start thinking about opening. There'll be some mitigation and they'll keep it going for a period of time — including masks, by the way — in areas that you wouldn't even think.",want open nobody want stay shut want open safely large section country right start thinking opening mitigation keep going period time including mask way area would even think,want open nobody want stay shut want open safely large_section country right start thinking opening mitigation keep going period time including mask way area would even think
54,2020-04-16,"I asked a question today. I said, “Why would they wear masks in Wyoming or Montana or North Dakota?” And that's if somebody should come in from an area that isn't so successful, in terms of what they've done.",asked question today said would wear mask wyoming montana north dakota somebody come area successful term done,asked question today said would wear mask wyoming montana north dakota somebody come area successful term done
55,2020-04-16,"Right. So, just for the viewers watching this or hearing you ask that question: “Exhausted” is a good thing, not a bad thing. It went quickly. It is so popular. The banks have been incredible, including 4,000 community banks. Four thousand. Most people didn't know you had that many banks. Four thousand —",right viewer watching hearing ask question exhausted good thing bad thing went quickly popular bank incredible including four-thousand community bank four thousand people know many bank four thousand,right viewer watching hearing ask question exhausted good thing bad thing went quickly popular bank incredible including four-thousand community_bank four thousand people know many bank four thousand
56,2020-04-16,"What they want is people want to keep this going. And we're doing it to keep the small businesses open and to keep the workers paid. And we have a $250 billion request. The Democrats like it. The Republicans love it. And to be honest, I think it's going to — something is going to be happening. I hope so, because this is a very popular program. It was really executed flawlessly.",want people want keep going keep small business open keep worker paid two-hundred-and-fifty billion request democrat like republican love honest think going something going happening hope popular program really executed flawlessly,want people want keep going keep small_business open keep worker paid two-hundred-and-fifty_billion request democrat like republican love honest think going something going happening hope popular program really executed flawlessly
57,2020-04-16,"The first day, they changed an application a little bit. There was — but when you look at what Bank of America did and what Wells Fargo did, and Citi and a lot of the banks — but when you ask —",first day changed application little bit look bank america well fargo citi lot bank ask,first day changed application little_bit look bank_america well fargo citi lot bank ask
58,2020-04-16,"— when you look at what all of the community banks did, it's been really incredible.",look community bank really incredible,look community_bank really incredible
59,2020-04-16,"Well, we're negotiating with Democrats, and they should, frankly, approve it quickly. This is a great thing for our country. It's a great thing for small business and for the workers. And we're having a hard time getting them to approve it. I think it's going to happen. It should happen really unanimously. But they're trying to get things and we're not too happy with what they're trying to get.",well negotiating democrat frankly approve quickly great thing country great thing small business worker hard time getting approve think going happen happen really unanimously trying get thing happy trying get,well negotiating democrat frankly approve quickly great thing country great thing small_business worker hard time getting approve think going happen happen really unanimously trying get thing happy trying get
60,2020-04-16,"I'd rather not say that, but you'll be seeing it very soon. I mean, they'll be — I'd rather have the governor be able to — the governors be able to announce. And they're very proud of it. They've worked hard. Some are in an area that's less susceptible and some really was done, I think we can say, through talent. They really worked very hard.",would rather say seeing soon mean would rather governor able governor able announce proud worked hard area le susceptible really done think say talent really worked hard,would rather say seeing soon mean would rather governor able governor able announce proud worked hard area le susceptible really done think say talent really worked hard
61,2020-04-16,"And, you know, we have some states that got too much credit for what they've done. Frankly, I could name you a couple of those too. And I could name you a couple of them. And we have others that haven't been given credit that have done a phenomenal job.",know state got much credit done frankly could name couple could name couple others given credit done phenomenal job,know state got much credit done frankly could name couple could name couple others given credit done phenomenal job
62,2020-04-16,"Well, that's not going to be normal. There's not going to be a new normal where somebody has been having, for 25 years, 158 seats in a restaurant, and now he's got 30 or he's got 60 — because that wouldn't work. That's not normal. No. Normal will be if he has the 158 or 68 seats. And that's going to happen. And it's going to happen, relatively quickly, we hope.",well going normal going new normal somebody twenty-five year one-hundred-and-fifty-eight seat restaurant got thirty got sixty would work normal normal one-hundred-and-fifty-eight sixty-eight seat going happen going happen relatively quickly hope,well going normal going new normal somebody twenty-five year one-hundred-and-fifty-eight seat restaurant got thirty got sixty would work normal normal one-hundred-and-fifty-eight sixty-eight seat going happen going happen relatively quickly hope
63,2020-04-16,"But that's our normal. Our normal is if you have 100,000 people in an Alabama football game — or 110,000, to be exact — we want 110,000 people there. We want every seat occupied. Normal is not going to be where you have a game with 50,000 people.",normal normal one-hundred-thousand people alabama football game one-hundred-and-ten-thousand exact want one-hundred-and-ten-thousand people want every seat occupied normal going game fifty-thousand people,normal normal one-hundred-thousand people alabama football game one-hundred-and-ten-thousand exact want one-hundred-and-ten-thousand people want every seat occupied normal going game fifty-thousand people
64,2020-04-16,We're going to be watching over. We're going to see that everything is working out smoothly. We're in very strong communication with the governors.,going watching going see everything working smoothly strong communication governor,going watching going see everything working smoothly strong communication governor
65,2020-04-16,"We're going to be helping with testing. They're going to be doing the testing. It's got to be a localized thing, and it really has been since I've been involved. Because I came in and the federal government supposed to do testing of parking lots in the middle of a certain state that's 2,000 miles away. It's ridiculous. But the testing has been so incredible.",going helping testing going testing got localized thing really since involved came federal government supposed testing parking lot middle certain state two-thousand mile away ridiculous testing incredible,going helping testing going testing got localized thing really since involved came federal_government supposed testing parking lot middle certain state two-thousand mile away ridiculous testing incredible
66,2020-04-16,"Two things: testing and ventilators. Ventilators are really tough. They're very complex. They're very expensive. They're, you know, very sophisticated machines. Some are unbelievably sophisticated. What we built — you saw General Motors yesterday. Thousands are being issued. We have 11 companies building them. We have not had one complaint in the last week and half, which is surge time.",two thing testing ventilator ventilator really tough complex expensive know sophisticated machine unbelievably sophisticated built saw general motor yesterday thousand issued eleven company building one complaint last week half surge time,two thing testing ventilator ventilator really tough complex expensive know sophisticated machine unbelievably sophisticated built saw general_motor yesterday thousand issued eleven company building one complaint last week half surge time
