,date,text
18,2020-04-05,"Therefore, my administration is issuing new federal guidelines that will allow governors to take a phased and deliberate approach to reopening their individual states. I've dealt with them now a long time, and we've had a great relationship — Democrat, Republican. The relationship has been good. This strategy is based on hard, verifiable data."
19,2020-04-05,"I want to thank Dr. Birx for her incredible leadership in crafting these guidelines in consultation with scientists, experts, and medical professionals across government. Dr. Birx will explain the guidelines in more detail in a few moments. And Dr. Fauci has been absolutely terrific. We've all worked together, and we've worked together well."
20,2020-04-05,"They are interested in the health of our country. And we're all interested in the viability and making us truly great again. We took the greatest economy in the history of the world, and we closed it in order to win this war. And we're in the process of winning it now."
21,2020-04-05,"Our approach outlines three phases in restoring our economic life. We are not opening all at once, but one careful step at a time. And some states will be able to open up sooner than others. Some states are not in the kind of trouble that others are in."
22,2020-04-05,"Now that we have passed the peak in new cases, we're starting our life again, we're starting rejuvenation of our economy again, in a safe and structured and very responsible fashion."
23,2020-04-05,"Our strategy will continue to protect senior citizens and other vulnerable populations while allowing military and other groups of incredibly talented people to go about their real business and the business that's supposed to be hard at work at doing. And nobody does it better. Our military is the greatest anywhere in the world, and we're so thankful for what they've done."
24,2020-04-05,"Healthy Americans will now be able to return to work as conditions on the ground allow. Instead of a blanket shutdown, we will pursue a focus on sheltering the highest-risk individuals. So important. We're establishing clear scientific, metric, and — benchmarks on testing, new case growth, and hospital capacity that must be met before advancing to each phase. And that's each phase specifically in the reopening of our country."
25,2020-04-05,"This is a gradual process. As the caseload in a state continues to go down, restrictions can continue to be eased and come off. Throughout the process, citizens will continue to be called upon to use all of their weapons in this war: vigorous hygiene, teleworking when possible, staying at home if you feel sick, maintaining social distance, sanitizing commonly used surfaces, and being highly conscious of their surroundings. Those are our weapons, and they're very powerful weapons indeed."
26,2020-04-05,"Governors will be empowered to tailor an approach that meets the diverse circumstances of their own states. Every state is very different. They're all beautiful. We love them all. But they're very, very different. If they need to remain closed, we will allow them to do that. And if they believe it is time to reopen, we will provide them the freedom and guidance to accomplish that task — and very, very quickly — depending on what they want to do."
27,2020-04-05,"We are also encouraging states to work together to harmonize their regional efforts. We'll have numerous cases where states have worked and will be working very, very closely together."
28,2020-04-05,"As we reopen, we know that there will be continued hardships and challenges ahead. Our goal will be to quickly identify and address any outbreaks and put them out rapidly. If the virus returns in the fall, as some scientists think it may possibly, these guidelines will ensure that our country is up and running so that we can likewise put it out quickly."
29,2020-04-05,"At the heart of our strategy is the vital role of medical research, especially for therapies that will significantly improve outcomes for high-risk patients and reduce the need for urgent care. This will be tremendously valuable in allowing life to eventually return to normal. At least 35 clinical trials are already underway, including antiviral therapies, immune therapies, and blood therapies in the form of convalescent plasma. You've all heard about some of these events and some of these therapies. They've come a long way. What's been done in the last four weeks is incredible."
30,2020-04-05,"We will also continue to expand our testing capacity. We have now completed more than 3.5 million tests — by far the most anywhere in the world. Areas of our country that have been hotspots have done much more testing, on a per capita basis, than South Korea. We've done more than South Korea — and South Korea has done a good job, but we've done more."
31,2020-04-05,"We will continue to work with governors to advise them on how to conduct both surveillance and diagnostic testing. We have now distributed over 600,000 Abbott ID NOW point-of-care diagnostic tests. These are tests that are done on site, and, within five minutes, you know the answer: positive or negative."
32,2020-04-05,"In recent days, we have seen a dramatic increase in the number of tests performed by hospitals and academic institutions, with more than 120,000 tests recently reported in a single day — far more than any country in the world has ever been able to do. And our numbers are actually going up."
33,2020-04-05,"As these new and better testing solutions come online, we're seeing this additional capacity reflected in the numbers. For this reason, the number of tests processed in commercial laboratories has dropped from approximately 100,000 to roughly 75,000 tests over the last week. The reason it dropped is because we have so many other tests and we don't even have to go through the laboratories. But the laboratories have tremendous additional capacity, and states feel free to use that capacity."
34,2020-04-05,"Some in the media falsely reported this as a bad thing, when, in fact, it is a great thing because it indicates that the states are moving to faster, more local testing solutions, including on-the-spot tests."
35,2020-04-05,"So this drop in the utilization of commercial laboratories is an affirmation that testing, which is at an all-time high, is growing at a historic rate. In other words, the laboratories are great, but now we have forms of testing that are much quicker, much better, and we don't have to use the laboratories. But they're there, and they have a great capacity to do the work."
36,2020-04-05,"As Dr. Birx has been advising our governors for weeks, we continue to have an excess testing capacity of 1 million tests per week available for use. And our capabilities are growing every single day, especially with the new tests that are coming onto the market rapidly."
37,2020-04-05,"As we begin a science-based reopening, we must be extra vigilant in blocking the foreign entry of the virus from abroad. Border control, travel restrictions, and other limitations on entry are more important than ever to keep the virus in check and allow Americans to get back to work."
38,2020-04-05,"The sacrifices our citizens have made in this time of crisis will be remembered, studied, honored, and praised for generations to come. We're really all working together. Democrat, Republican, conservative, liberal — we're all working together. This is not about parties; this is about our country."
39,2020-04-05,"Now the American people are ready to rise to the occasion once again. They are ready to show the world once more that Americans can defeat any challenger. Together, we will rebuild this land that we love, we will reclaim the magnificent destiny that we share, and we will carry our nation forward to new heights of greatness and glory."
40,2020-04-05,"I would now like to ask Vice President Mike Pence and Dr. Birx to further explain the new guidelines. I want to thank Dr. Birx. I want to thank Dr. Fauci. And I want to thank, really especially, a man who has devoted 24 hours a day to his task force and done such an incredible job — our great Vice President, Mike Pence."
41,2020-04-05,"Please, Mike."
42,2020-04-05,"Thank you very much. Please, Tony."
43,2020-04-05,Right.
44,2020-04-05,"I did. I heard from a number of governors that said they're in very good shape. I also heard — not only from the call, but I heard from some of the governors previous — and I think you'll have some very good things to report over the next few days about states opening up."
45,2020-04-05,"And I think, Jon, having to do with your call on — on sports: Depending on the area, depending where we're talking about, you're going to have large areas of our country where this has not been or has been totally eradicated. You'll be able to have those full arenas."
46,2020-04-05,"Now, with everything being said, a lot of great work has been done on vaccines, but you have a testing process. Therapeutics, likewise — we have a lot of great things happening, therapeutically. That will be a step further."
47,2020-04-05,"But, in terms of sports, they'll probably start off — I — as you know, I spoke to the commissioners yesterday — almost, I guess, of every sport. And many of them are going to be starting without the fans. So it'll be made for television. The good old days, made for television. And it'll go that way, and then fans will start coming in. Maybe they'll be separated by two seats. And then ultimately, we want to have packed arenas. When the virus is gone, we're going to have packed arenas and we're going to be back to enjoying sports the way they're supposed to be. And the same thing can be said for restaurants."
48,2020-04-05,"So, at a certain point in time, when the virus is gone, we're going to be back to normal."
49,2020-04-05,"Please, go ahead."
50,2020-04-05,"Well, they're going to be in place, to a large extent, and it also depends on the governors, what they want to do. You have very different states. If you look at Montana, Wyoming, North Dakota — that's a lot different than New York. It's a lot different than New Jersey. So it's going to be very dependent on the governor."
51,2020-04-05,"We're recommending — as you see in the charts, we're recommending certain things. They'll be in place, dependent on what the governor wants to do. If we see something wrong, we will be expressing ourselves very strongly."
52,2020-04-05,"Please, go ahead."
53,2020-04-05,You're talking about those states that are in great shape already?
54,2020-04-05,"They will be able to go literally tomorrow, yes — because they've met all of the guidelines if you go back — you're going back 14 days, you're going back even a month. And they have — the ones that I'm thinking about, the ones that I've already spoken to governors about — they've met those guidelines, actually, pretty long ago."
55,2020-04-05,"Well, they've been going through it a long time, Jon, and it's been a tough process for people. You know, I told you this: There's death and there's problems in staying at home too. It's not just, “Isn't it wonderful to stay at home?” They're having — they're suffering. This country wasn't built on that principle; it was built on an exact opposite principle, actually."
56,2020-04-05,"And I watched, in one particular state, where they were — they want to get back. They want to get back. They were very strict sanctions that were put on people; that was probably the most strict of all."
57,2020-04-05,"But, I just think the American people have been incredible. When you look at —"
58,2020-04-05,"Jon, when you look at what they've done, when you look at what they've been through, when you look at all of the death and all of the problems and all of the sickness, when you look at what's happened, I just think the American people have been incredible."
59,2020-04-05,I think they're listening. I think they listen to me. They seem to be protesters that like me and respect this opinion. And my opinion is the same as just about all of the governors.
60,2020-04-05,"They all want to open. Nobody wants to stay shut, but they want to open safely. So do I. But we have large sections of the country right now that can start thinking about opening. There'll be some mitigation and they'll keep it going for a period of time — including masks, by the way — in areas that you wouldn't even think."
61,2020-04-05,"I asked a question today. I said, “Why would they wear masks in Wyoming or Montana or North Dakota?” And that's if somebody should come in from an area that isn't so successful, in terms of what they've done."
62,2020-04-05,"So, that will be a governor's choice, and we'll have no problem with it."
63,2020-04-05,"Right. So, just for the viewers watching this or hearing you ask that question: “Exhausted” is a good thing, not a bad thing. It went quickly. It is so popular. The banks have been incredible, including 4,000 community banks. Four thousand. Most people didn't know you had that many banks. Four thousand —"
64,2020-04-05,"What they want is people want to keep this going. And we're doing it to keep the small businesses open and to keep the workers paid. And we have a $250 billion request. The Democrats like it. The Republicans love it. And to be honest, I think it's going to — something is going to be happening. I hope so, because this is a very popular program. It was really executed flawlessly."
65,2020-04-05,"The first day, they changed an application a little bit. There was — but when you look at what Bank of America did and what Wells Fargo did, and Citi and a lot of the banks — but when you ask —"
66,2020-04-05,"— when you look at what all of the community banks did, it's been really incredible."
67,2020-04-05,"Well, we're negotiating with Democrats, and they should, frankly, approve it quickly. This is a great thing for our country. It's a great thing for small business and for the workers. And we're having a hard time getting them to approve it. I think it's going to happen. It should happen really unanimously. But they're trying to get things and we're not too happy with what they're trying to get."
68,2020-04-05,"Please, go ahead."
69,2020-04-05,"I'd rather not say that, but you'll be seeing it very soon. I mean, they'll be — I'd rather have the governor be able to — the governors be able to announce. And they're very proud of it. They've worked hard. Some are in an area that's less susceptible and some really was done, I think we can say, through talent. They really worked very hard."
70,2020-04-05,"And, you know, we have some states that got too much credit for what they've done. Frankly, I could name you a couple of those too. And I could name you a couple of them. And we have others that haven't been given credit that have done a phenomenal job."
71,2020-04-05,"Well, that's not going to be normal. There's not going to be a new normal where somebody has been having, for 25 years, 158 seats in a restaurant, and now he's got 30 or he's got 60 — because that wouldn't work. That's not normal. No. Normal will be if he has the 158 or 68 seats. And that's going to happen. And it's going to happen, relatively quickly, we hope."
72,2020-04-05,"But that's our normal. Our normal is if you have 100,000 people in an Alabama football game — or 110,000, to be exact — we want 110,000 people there. We want every seat occupied. Normal is not going to be where you have a game with 50,000 people."
73,2020-04-05,We're going to be watching over. We're going to see that everything is working out smoothly. We're in very strong communication with the governors.
74,2020-04-05,"We're going to be helping with testing. They're going to be doing the testing. It's got to be a localized thing, and it really has been since I've been involved. Because I came in and the federal government supposed to do testing of parking lots in the middle of a certain state that's 2,000 miles away. It's ridiculous. But the testing has been so incredible."
75,2020-04-05,"Two things: testing and ventilators. Ventilators are really tough. They're very complex. They're very expensive. They're, you know, very sophisticated machines. Some are unbelievably sophisticated. What we built — you saw General Motors yesterday. Thousands are being issued. We have 11 companies building them. We have not had one complaint in the last week and half, which is surge time."
76,2020-04-05,"Don't forget, when they were calling, they were calling because in two weeks, in four weeks, in five weeks, they're going to need ventilators — not because they need them right now. And we were right on our counts. And nobody that wanted a ventilator didn't get a ventilator. Plus, we have additional, if there is a surge. We hope there's not going to be a surge at all. But we're going to be able to build up the stockpiles of states who didn't have them, who should have had them."
77,2020-04-05,"And we're also going to have a big stockpile in the federal government, and we'll be able to help foreign countries — countries that need help. Because you have comp- — look, you have countries who will never be able to build a ventilator. It's tough stuff. We're uniquely talented in the sense that we can do things that nobody else can do."
78,2020-04-05,"We'll get right back to you, John."
79,2020-04-05,"Peter, in the back. Peter."
80,2020-04-05,"Well, I think — yeah, Peter. I think 29 states are in that ballgame, not open — not for opening, but I think they'll be able to open relatively soon. I think the remainder are just getting better. Look, New York, New Jersey are having very tough times, and they'll be there. They'll be there at some point. But they're not going to be one of the earlier states; they're going to be later, obviously."
81,2020-04-05,"I just spoke with the governor of New Jersey. We just spoke with Mike and a couple of folks. We had a great talk with him. Phil is a terrific guy. He's working very hard — Democrat — but we get along. He's working very, very hard. I guess, the fact that he's right next to this big massive city where everybody is very closely — you know, they're — they're together. And New Jersey has been hit unbelievably hard — as hard as — as hard as anybody, in the true sense. But they're doing a great job in New Jersey."
82,2020-04-05,"That doesn't mean, Peter — that doesn't mean that they're going to be opening next week. That's not one that's going to be. But we have a lot of states that, through location, through luck, and also through a lot of talent — we have states, through a lot of talent, are in a very good position, and they're getting ready to open and over the next very short period of time."
83,2020-04-05,"It's going to be up to the governors. We're going to work with them, we're going to help them, but it's going to be up to the governors. I think they're going to — I think you're going to see quite a few states starting to open. And I call it a “beautiful puzzle.” You have 50 pieces, all very different, but when it's all done, it's a mosaic. When it's all done, it's going to be, I think, a very beautiful picture."
84,2020-04-05,"And very important is what Dr. Fauci said: It could be that, sometime in the fall, there'll be some flare-ups. We're going to be in a great position with everything we've done and everything we've learned. This was something that nobody ever saw before: such contagion and very, very powerful."
85,2020-04-05,"People don't realize because you — we all probably have friends — I have a number of people that were just great people who were just decimated by what happened. Some were — some were — some are dead right now. They're dead. They went into a hospital. One called me; he said, “I tested positive.” Four days later, he was dead. The following day after he said that, he was unconscious. So this is a tough deal."
86,2020-04-05,"At the same time, some people got sniffles and they didn't even realize they had a problem. And they are supposedly immune. We're going to find out about that. Even that's a little bit soon because we don't know how long the immunity lasts."
87,2020-04-05,"But, Peter, some states are in great shape, and they're really in great shape to open. And I think you'll have quite a few states opening soon. And they're going to be very vigilant, they're going to be very careful."
88,2020-04-05,Go ahead. (Inaudible.)
89,2020-04-05,"Sure, we can do that. Either one, please."
90,2020-04-05,"Tony, did you want to say something?"
91,2020-04-05,"Peter, I just have to say that, as we see a hotspot possibly developing — maybe not — but if we see a hotspot developing, we've learned a lot. We'll be able to suppress it, whack it. We'll be able to do things that people weren't even thinking about because nobody has ever gone through this."
92,2020-04-05,"In 1917, they went through something that was similar. Probably not as contagious, probably more powerful in certain other ways. But we are going to be able to suppress it, we think. And we're going to watch it very closely. We're going to — we're going to be able to watch things very closely."
93,2020-04-05,Please.
94,2020-04-05,"Yeah. Bob, please."
95,2020-04-05,"And one other thing, because we — we discussed this today with the senators — we had the senators, we have the congressmen and women. There'll be some areas of our country — wide open plains, wide open spaces — with not that many people, relatively speaking, where you're not going to have to do that. Senators were saying there is no reason to do that in certain states, in certain areas, where you have the wide open."
96,2020-04-05,"In other cases, we will be doing that. So we'll be following it. Largely, that also will be a function of governors. They know their states. So, largely, that's going to be a function of governors."
97,2020-04-05,Yes.
98,2020-04-05,Yeah.
99,2020-04-05,"We do have the capacity, but, you know, you have states without any problem. You have states with few cases, and those few cases have healed. You have states with very little death, relatively speaking. As I said, one is too many, but you have states with very little, and frankly, they're at a point where they have almost nothing."
100,2020-04-05,"So this is a much different case than a New York or New Jersey where they're going through — frankly, they go through hell. And if you look at New York — I'm looking at bed count, because you have to look at bed count, and it's really dropped. We built the Javits Center with 2,900 beds. And it was — I mean, they built it in four days. They did an incredible job — the Army Corps of Engineers. It was not used very much. We sent the ship — the hospital ship into New York Harbor, and it was not used. Then we went COVID, and it still was not used very much, because the bed count has gone way down — way, way down."
101,2020-04-05,"Go ahead, please."
102,2020-04-05,"This is — this is not campaigning. I want to make the country better. I don't care about campaigning. This is — this is about making our country better. I think this team has been incredible, whether it's Army Corps of Engineers, whether it's FEMA."
103,2020-04-05,"One thing that happened on the call today that I noticed more than anything is Pete Gaynor. So many governors that, “I want to thank you.” Pete Gaynor called up. They had tornadoes in a big part of our country this weekend — this week. And they were all saying that he has been unbelievable. They called one after another. They were thanking us for — that's FEMA. And they were thanking us."
104,2020-04-05,"No, I want to heal this country. This — this is a war. We've been through a war. We have an invisible, as opposed to a visible, enemy. I think, in many ways, the invisible enemy is much more dangerous, is much tougher."
105,2020-04-05,"In the G7 today, I went through country after country. We were there. We all get along great. Angela Merkel and Shinzo Abe — Prime Minister of Japan — and all of them. And their — their countries have been devastated by this. Their economies have been devastated by this. A hundred and eighty-four countries all over the world."
106,2020-04-05,"And we went through one after another. And I was angry because it should have been told to us. It should have been told to us early. It should have been told to us a lot sooner. People knew it was happening, and people didn't want to talk about it. I don't know why, but we're going to get to the bottom of it. But people should have —"
107,2020-04-05,People — I'm not saying anything. I'm saying people should have told us about this. They should have told the rest of the world too.
108,2020-04-05,"When I looked at Germany talking today, when I looked at France talking today — the European Union was there represented; that represents a lot of countries — their economies have been devastated, but they're going to build them back. But we're going to build this economy back bigger, better, stronger than ever before. You watch. And we have stimulus."
109,2020-04-05,"And we're going to do things, whether it's infrastructure — which we would like to be able to do — our roads, our tunnels, our highways, our bridges. Our bridges need help. You know, a lot of you have reported on our bridges. A lot of bridges are in bad shape. They should have been fixed 25 years ago, and they're still standing. They have to be fixed. So hopefully we'll get an infrastructure bill."
110,2020-04-05,The good news is the interest rate is close to zero. And zero interest is a good thing when it comes to rebuilding your infrastructure and your country back.
111,2020-04-05,"Please, in the back."
112,2020-04-05,"Well, I don't like to anticipate because you have a couple of states that are in difficulty that have made a lot of progress, by the way, and they're either here or they're heading down. But — so I'm not going to go in, in terms of dates, but I think we're going very quickly now. I really believe."
113,2020-04-05,"I think we're going to have a lot of states open relatively soon. We're beating the date. I set a date of May 1st, and, you know, here we are. And I think you're going to have some nice surprises over the next few days. And that'll be before. And that's big stuff. Some of those states are big. They're big stuff. Very important states. And it's going to be added on and on."
114,2020-04-05,"And as we — look, I don't want anyone coming back that isn't in position to come back. The last thing we want is for, let's say, a New York to come back too soon or a New Jersey to come back to soon. We want them to come back when they're ready. But they're really heading in a good direction, and I think it'll be much faster than people think. I think it'll be quicker. But it's got to be safe."
115,2020-04-05,"Yeah, please. In the back."
116,2020-04-05,"So, if we didn't do what we did, we were talking about up to 2.2 million deaths. So that's five times almost what we lost in the Civil War. Okay?"
117,2020-04-05,"If — if everything happens properly and if we continue to go the way we're going now, we will be significantly less than the lowest number with mitigation. So we'll be significantly less. And it's still a lot of people. One is too many, as I've said. One is too many. But we'll be under the number of 100,000, which was the minimum number projected by the model. And I give — I give everybody up here, I give all of the people that we've been — I mean, we — this was a military operation with a lot of private help."
118,2020-04-05,"If you look at Roche, they were incredible. If you look at Johnson &amp; Johnson now, what they're doing — they are very far advanced on a vaccine. I think, therapeutically, we have some of these genius company — they're truly genius companies. I'm seeing them. I'm meeting with the people that run the companies and scientists. And, I mean, what they're doing is incredible. It's incredible. It's a beautiful thing to see."
119,2020-04-05,"So I think we're very far advanced, and I think we're going to be in great shape soon."
120,2020-04-05,"Yeah, please."
121,2020-04-05,Do you mean Washington State or Washington here?
122,2020-04-05,"Well, that's going to be up to them. They're going to have to make that determination. I mean, the governor of Washington was saying that he can't find cotton because — you know, a swab is a very easy thing to get. And swab is — essentially, it's a little bit more sophisticated than a Q-tip. And you got to be able to go out and find. You know, the federal government shouldn't be forced to go and do everything."
123,2020-04-05,"What we've done is incredible. What we've done are the — the ones that can't be done — like, for instance, the ventilators — that can't be done by anybody but a very powerful, very great manufacturing country, which is what we are and what we're really getting to be."
124,2020-04-05,"And I have to tell you, some of these companies, what — the job they've done — and we're going to recognize them pretty soon — the job they've done in terms of getting out, in particular, ventilators, because ventilators are so hard. They're so — I say, and some people say, “Oh, it's not really as complicated.” Well, it's like building a car. And you know what? The price is the same too. It's a very expensive thing for a sophisticated ventilator. It's very, very tough stuff."
125,2020-04-05,"Yeah, please. In the back."
126,2020-04-05,"Yeah, I'll let you —"
127,2020-04-05,I'll let you guys —
128,2020-04-05,"So, just so you understand — excuse me. Just so you understand, we have tremendous testing capacity. You look at the labs; they're actually saying, “Send us.” And the reason it's gone down is because we have so many other tests that, frankly, are easier because you don't have to send. They're on site. And now we have the new saliva test that just came out yesterday, which is probably the easiest of them all, when you get right down to it."
129,2020-04-05,"And I was seeing where Rutgers is involved — great school, great college, great university — and they're using that. So many people are going to want to use that. But they don't have to use the labs anymore. The labs are great, highly accurate. Very, very great companies. But they're down. They have tremendous — as that goes down, you have additional capacity."
130,2020-04-05,"We have tremendous testing capacity. And to think that a month and a half ago, we had virtually nothing."
131,2020-04-05,"I just want to conclude: We're opening up our great country again. It's going to be over a period of time. We're working with some really great people — people that have become friends of mine. And I'm including Democrat governors that have really done a good job; Republican governors, most of whom I've known that have done a really good job. They're all working together. We're all for the — with few exceptions, the relationship has been outstanding. And I want to thank Doctor, Doctor, and Mike. I want to thank the Director. Fantastic job. We've all done — by the way, head of the FDA, he has broken hurdles that years ago, even recently, would have taken years. He was — he got one thing done in one day that would have taken two years for somebody else. So I want to thank Dr. Hahn of the FDA."
132,2020-04-05,"We have incredible people that we're working with. And we're going to bring our country back, and it's going to be bigger and better and stronger than ever before. We have learned a lot. We've learned a lot about ourselves."
133,2020-04-05,"I want to thank everybody. And most importantly, I want to thank the American people. Thank you all very much. Thank you."
134,2020-04-05,"Thank you very much. Appreciate it. A lot of tremendous things are happening. The number of new positive cases continue to decline nationwide. Recent hotspots appear to be stabilizing. The hotspots are, in some cases, very interesting what's going on. And they're going down; they're going in the right direction. Cases in the Boston area are now declining. The Chicago curve appears to have flattened, which is terrific. And Detroit is past its peak."
135,2020-04-05,"These trends demonstrate that our aggressive strategy to battle the virus is working and that more states will soon be in a position to gradually and safely reopen. It's very exciting. It was very exciting, even today, watching and seeing what's happening. And people are getting ready and they're all excited."
136,2020-04-05,I do want to mention a man who's done a very good job for us: Dr. Robert Redfield. He was totally misquoted in the media on a statement about the fall season and the virus. Totally misquoted. I spoke to him. He said it was ridiculous. He was talking about the flu and corona coming together at the same time. And corona could be just some little flare-ups that we'll take care of. We're going to knock it out. We'll knock it out fast. But that's what he was referring to: coming together at the same time.
137,2020-04-05,"And I think rather than waiting, I'd ask Dr. Redfield to come up, say a couple of words just to straighten that out, because he didn't say it was a big — a big explosion. The headline in the Washington Post was totally inaccurate. The statement wasn't bad in the Post, but the headline was ridiculous, which is — as I say, that's fake news. And CNN is fake news like crazy, and they had just totally the wrong story, which they knew. They were asked to change it, and they wouldn't do that. And it was false."
138,2020-04-05,"So I'll ask Dr. Redfield, who is, you know, a real professional, to come up and explain. Please. Thank you, Doctor."
139,2020-04-05,But I don't know what's to follow up.
140,2020-04-05,"He was misquoted. Totally misquoted. He said they could come together. They didn't talk about that. And his whole purpose in making the statement was to get a flu shot, so that next fall we don't have such a big season of flu — and we possibly won't."
141,2020-04-05,"But, as you said, there's — it's possible, if the corona even comes back — and he doesn't know that it's going to and neither do I. We spoke a great length. And I think the doctor will speak, if you'd like to continue. But we may have some embers — and we're going to put them out — of corona. But we may have a big flu season. But that's different. Flu is very different from corona."
142,2020-04-05,"Yeah, go ahead. Sure."
143,2020-04-05,"And you may not even have corona coming back, just so you understand."
144,2020-04-05,"Doctor, would you like to explain that."
145,2020-04-05,"What does the headline say? What does the headline say? Go ahead, read the headline."
146,2020-04-05,That's not what he says.
147,2020-04-05,It's not what he said.
148,2020-04-05,The headline doesn't correspond to the story.
149,2020-04-05,You weren't called.
150,2020-04-05,"And, Doctor, wouldn't you say there's a good chance that COVID will not come back?"
151,2020-04-05,"And if it does comes back, it's in a very small, confined area that we put out. Go ahead."
152,2020-04-05,"And if it comes back, though, it won't be coming back in the form that it was. It will be coming back in smaller doses that we can contain. But what the doctor was saying — and I spoke to him a great length — he was saying, if it should come back “together.” Now you have a flu and you have the embers of corona."
153,2020-04-05,"But, in my opinion, from everything I've seen, it can never be like anything that we've witnessed right now. Would you say that's a correct statement?"
154,2020-04-05,"It's nothing like what we're talking — what we've just gone though, we will not go through. You could have some embers of corona, and you could have a big flu system. And if they combine, if they come together — if they come together, it's not great. But we will not go through what we went through for the last two months."
155,2020-04-05,"Yeah, Jeff."
156,2020-04-05,Is that a correct statement?
157,2020-04-05,"What — it is estimated it might not come back at all, Jeff. It may not come back at all."
158,2020-04-05,"He's talking about a worst-case scenario where you have a big flu and you have some corona. And if it does come back, it's not going to come back — and I've spoken to 10 different people — it's not going to be like it was."
159,2020-04-05,"Also, we have much better containment now. Before, nobody knew about it. Nobody knew anything about it. We understand it. Now, if we have pockets — a little pocket here or there — we're going to have to put out. It goes out and it's going to go out fast. We're going to be watching for it."
160,2020-04-05,But it's all possible. It's also possible it doesn't come back at all.
161,2020-04-05,"I didn't say it's not. I said if it does, it's not going to come back on anything near what we went through. But you could have a mess, where they come at the same time. And if they come at the same time — the flu is not the greatest thing in the world, Jeff. It's not the greatest thing either. If they come at the same time, you have them both."
162,2020-04-05,"But if we have embers of corona coupled with the flu, that's not going to be pleasant, but it's not going to be what we've gone through in any way, shape, or form."
163,2020-04-05,Yeah.
164,2020-04-05,"Because we have to have them for other reasons. Something else could come. I mean, we didn't know about corona; now we know about corona. But look at what happened. And now, we did have the H1N1 swine flu. We had that. We have other things that have happened. We had various forms of flu, but nothing like what we've had here. Nothing at all like what we've had here with the virus. But something could happen."
165,2020-04-05,"I think that the stockpiles — we're making hundreds of thousands of ventilators right now. Nobody writes about that. You know, at the one time, all they talked about was ventilators, right? Because you didn't think it was possible for me to solve that problem. And I solved it and nobody can believe it."
